year,co2
2015,399.77
2016,402.77
2017,405.61
2018,408.43
2019,411.30
2020,414.16
2021,417.25
2022,420.19
2023,422.83
2024,425.87
2025,428.76
2026,431.70
2027,435.01
2028,437.80
2029,440.73
2030,443.83
2031,446.93
2032,450.12
2033,453.24
2034,456.31
2035,459.42
2036,462.62
2037,465.84
2038,468.98
2039,471.81
2040,475.11
2041,478.27
2042,481.23
2043,484.57
2044,487.76
2045,490.93
2046,494.10
2047,497.24
2048,500.39
2049,503.43
2050,506.63
2051,509.62
2052,512.89
2053,515.97
2054,518.84
2055,522.10
2056,525.10
2057,528.05
2058,530.91
2059,533.90
2060,536.90
2061,539.73
2062,542.53
2063,545.39
2064,548.13
2065,550.82
2066,553.43
2067,556.13
2068,558.89
2069,561.38
2070,563.73
2071,566.11
2072,568.56
2073,570.91
2074,573.05
2075,575.27
2076,577.43
2077,579.39
2078,581.28
2079,583.16
2080,584.90
2081,586.62
2082,588.22
2083,589.75
2084,591.19
2085,592.54
2086,593.76
2087,594.81
2088,595.87
2089,596.83
2090,597.68
2091,598.42
2092,599.09
2093,599.73
2094,600.32
2095,600.82
2096,601.33
2097,601.76
2098,602.15
2099,602.48
2100,602.76
